exp1,,,
,Population estimate (Nt),Prob of survival,Number joining Bt
1,,0.842777778,
2,181.445098,0.65283936,60.87632546
3,179.3308271,1.042659875,15.22807687
4,202.2091346,0.736953821,29.57746236
5,178.5962567,0.663397989,71.18441738
6,189.6648148,0.322170411,-10.43772471
7,50.66666667,0,0
,,,
,,,
exp 2,,,
,Population estimate (Nt),Prob of survival,Number joining Bt
1,,0.817083333,
2,166.1402778,0.829763373,7.702177666
3,145.5592949,0.737162327,17.37461013
4,124.6754386,0.79723827,-8.737244494
5,90.65878645,0.811038714,-0.361447407
6,73.16633819,0.700862895,-0.27957164
7,51,0,0
,,,
,,,
exp 3,,,
,Population estimate (Nt),Prob of survival,Number joining Bt
1,,1.0625,
2,12.75,1.390243902,48.77439024
3,66.5,0.680256261,4.383873681
4,49.62091503,1.894578313,118.7392905
5,212.75,0.247323736,34.55024258
6,87.16836735,0.262602579,25.10936192
7,48,0,0
